EFFECT_ID,EFFECT_NAME,EFFECT_TYPE,EFFECT_VALUE,EFFECT_STACK,EFFECT_STACKNUM,EFFECT_CLEAR,EFFECT_DESCRIPTION,,,
31001,9300345,10,120,1,5,0,9300346,,,
31002,9300347,10,135,1,5,0,9300348,,,
31003,9300349,10,120,1,5,0,9300350,,,
31004,9300351,10,135,1,5,0,9300352,,,
31005,9300353,10,120,1,5,0,9300354,,,
31006,9300355,10,135,1,5,0,9300356,,,
31007,9300357,10,120,1,5,0,9300358,,,
31008,9300359,10,135,1,5,0,9300360,,,
31009,9300361,10,120,1,5,0,9300362,,,
310010,9300363,10,135,1,5,0,9300364,,,
310011,9300365,10,120,1,5,0,9300366,,,
310012,9300367,10,135,1,5,0,9300368,,,
310013,9300369,10,120,1,5,0,9300370,,,
310014,9300371,10,135,1,5,0,9300372,,,
310015,9300373,10,120,1,5,0,9300374,,,
310016,9300375,10,135,1,5,0,9300376,,,
310017,9300377,10,120,1,5,0,9300378,,,
310018,9300379,10,135,1,5,0,9300380,,,
310019,9300381,10,120,1,5,0,9300382,,,
310020,9300383,10,135,1,5,0,9300384,,,
310021,9300385,10,135,1,5,0,9300386,,,
310022,9300387,10,150,1,5,0,9300388,,,
310023,9300389,10,135,1,5,0,9300390,,,
310024,9300391,10,150,1,5,0,9300392,,,
310025,9300393,10,135,1,5,0,9300394,,,
310026,9300395,10,150,1,5,0,9300396,,,
310027,9300397,10,135,1,5,0,9300398,,,
310028,9300399,10,150,1,5,0,9300400,,,
310029,9300401,10,135,1,5,0,9300402,,,
310030,9300403,10,150,1,5,0,9300404,,,
310031,9300405,10,135,1,5,0,9300406,,,
310032,9300407,10,150,1,5,0,9300408,,,
310033,9300409,10,135,1,5,0,9300410,,,
310034,9300411,10,150,1,5,0,9300412,,,
310035,9300413,10,150,1,5,0,9300414,,,
310036,9300415,10,165,1,5,0,9300416,,,
310037,9300417,10,150,1,5,0,9300418,,,
310038,9300419,10,165,1,5,0,9300420,,,
310039,9300421,10,150,1,5,0,9300422,,,
310040,9300423,10,165,1,5,0,9300424,,,
310041,9300425,10,150,1,5,0,9300426,,,
310042,9300427,10,165,1,5,0,9300428,,,
310043,9300429,10,150,1,5,0,9300430,,,
310044,9300431,10,165,1,5,0,9300432,,,
310045,9300433,10,170,1,5,0,9300434,,,
310046,9300435,10,190,1,5,0,9300436,,,
34147,9300437,4,10,1,5,1,9300438,,,
310048,9300439,10,170,1,5,0,9300440,,,
310049,9300441,10,190,1,5,0,9300442,,,
33150,9300443,3,3,1,5,1,9300444,,,
310051,9300445,10,170,1,5,0,9300446,,,
310052,9300447,10,190,1,5,0,9300448,,,
31153,9300449,1,15,1,5,1,9300450,,,
310054,9300451,10,170,1,5,0,9300452,,,
310055,9300453,10,190,1,5,0,9300454,,,
34156,9300455,4,15,1,5,1,9300456,,,
310057,9300457,10,200,1,5,0,9300458,,,
310058,9300459,10,225,1,5,0,9300460,,,
31159,9300461,1,20,1,5,1,9300462,,,
310060,9300463,10,200,1,5,0,9300464,,,
310061,9300465,10,225,1,5,0,9300466,,,
35162,9300467,5,0,1,5,1,9300468,,,
310063,9300469,10,200,1,5,0,9300470,,,
310064,9300471,10,225,1,5,0,9300472,,,
34065,9300473,4,25,1,5,0,9300474,,,
313066,9300475,13,20,1,6,0,9300476,,,
314067,9300477,14,10,1,6,0,9300478,,,
315068,9300479,15,30,1,6,0,9300480,,,
316069,9300481,16,25,1,6,0,9300482,,,
317070,9300483,17,0.5,0,6,0,9300484,,,
318071,9300485,18,25,1,6,0,9300486,,,
313072,9300487,13,40,1,6,0,9300488,,,
314073,9300489,14,25,1,6,0,9300490,,,
315074,9300491,15,60,1,6,0,9300492,,,
316075,9300493,16,60,1,6,0,9300494,,,
317076,9300495,17,1.5,0,6,0,9300496,,,
318077,9300497,18,50,1,6,0,9300498,,,
313078,9300499,13,75,1,6,0,9300500,,,
314079,9300501,14,50,1,6,0,9300502,,,
315080,9300503,15,100,1,6,0,9300504,,,
316081,9300505,16,100,1,6,0,9300506,,,
317082,9300507,17,3,0,6,0,9300508,,,
318083,9300509,18,80,1,6,0,9300510,,,
311084,9300511,11,1000,0,0,0,9300512,,,
32185,9300513,2,0,1,6,1,9300514,,,
311086,9300515,11,1500,0,0,0,9300516,,,
31187,9300517,1,50,1,6,1,9300518,,,
37188,9300519,7,0,0,0,1,9300520,,,
311089,9300521,11,1300,0,0,0,9300522,,,
311090,9300523,11,1500,0,0,0,9300524,,,
36091,9300525,6,5,1,6,0,9300526,,,
34192,9300527,4,20,1,6,1,9300528,,,
311093,9300529,11,1200,0,0,0,9300530,,,
311094,9300531,11,1500,0,0,0,9300532,,,
35195,9300533,5,0,1,6,1,9300534,,,
311096,9300535,11,5000,0,0,0,9300536,,,
38197,9300537,8,25,1,6,1,9300538,,,
39198,9300539,9,30,1,6,1,9300540,,,
31199,9300541,1,75,1,6,1,9300542,,,
381100,9300543,8,50,1,6,1,9300544,,,
391101,9300545,9,75,1,6,1,9300546,,,
